id,country,age,gender,ws1,ws2,ws3,ws4,ws5,ws6,ws7,ws8,ws9,ws10,issue,answer,position,type,argument,value
R_1BWV0jQiqcHl83w,187,39,2,1,1,1,1,1,1,1,1,1,1,just_adultery,1,yes,self,14,3
R_1BWV0jQiqcHl83w,187,39,2,1,1,1,1,1,1,1,1,1,1,just_adultery,1,yes,self,17,3
R_1BWV0jQiqcHl83w,187,39,2,1,1,1,1,1,1,1,1,1,1,just_adultery,1,yes,self,19,4
R_1BWV0jQiqcHl83w,187,39,2,1,1,1,1,1,1,1,1,1,1,just_adultery,1,no,other,1,2
R_1BWV0jQiqcHl83w,187,39,2,1,1,1,1,1,1,1,1,1,1,just_adultery,1,no,other,6,4
R_1BWV0jQiqcHl83w,187,39,2,1,1,1,1,1,1,1,1,1,1,just_adultery,1,no,other,8,2
R_1BWV0jQiqcHl83w,187,39,2,1,1,1,1,1,1,1,1,1,1,just_adultery,1,no,other,11,4
R_1BWV0jQiqcHl83w,187,39,2,1,1,1,1,1,1,1,1,1,1,just_adultery,1,no,other,14,2
R_1BWV0jQiqcHl83w,187,39,2,1,1,1,1,1,1,1,1,1,1,just_adultery,1,no,other,17,4
R_1BWV0jQiqcHl83w,187,39,2,1,1,1,1,1,1,1,1,1,1,just_adultery,1,no,other,19,3
R_1BWV0jQiqcHl83w,187,39,2,1,1,1,1,1,1,1,1,1,1,just_lying,1,yes,self,2,1
R_1BWV0jQiqcHl83w,187,39,2,1,1,1,1,1,1,1,1,1,1,just_lying,1,yes,self,6,5
R_1BWV0jQiqcHl83w,187,39,2,1,1,1,1,1,1,1,1,1,1,just_lying,1,yes,self,7,1
R_1BWV0jQiqcHl83w,187,39,2,1,1,1,1,1,1,1,1,1,1,just_lying,1,yes,self,12,1
R_1BWV0jQiqcHl83w,187,39,2,1,1,1,1,1,1,1,1,1,1,just_lying,1,yes,self,13,1
R_1BWV0jQiqcHl83w,187,39,2,1,1,1,1,1,1,1,1,1,1,just_lying,1,yes,self,16,1
R_1BWV0jQiqcHl83w,187,39,2,1,1,1,1,1,1,1,1,1,1,just_lying,1,yes,self,20,1
R_1BWV0jQiqcHl83w,187,39,2,1,1,1,1,1,1,1,1,1,1,just_lying,1,no,other,2,1
R_1BWV0jQiqcHl83w,187,39,2,1,1,1,1,1,1,1,1,1,1,just_lying,1,no,other,6,5
R_1BWV0jQiqcHl83w,187,39,2,1,1,1,1,1,1,1,1,1,1,just_lying,1,no,other,7,1
R_1BWV0jQiqcHl83w,187,39,2,1,1,1,1,1,1,1,1,1,1,just_lying,1,no,other,12,5
